#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.650000e+00    1.650000e+00    0.000000e+00
           2    1.650000e+00    1.650000e+00    0.000000e+00
           3    1.650000e+00    1.650000e+00    1.720638e-08
           4    1.650000e+00    1.650000e+00    0.000000e+00
           5    1.650000e+00    1.650000e+00    0.000000e+00
           6    1.650000e+00    1.650000e+00    1.216675e-08
           7    1.650000e+00    1.650000e+00    1.379579e-08
           8    1.650000e+00    1.650000e+00    1.053671e-08
           9    1.650000e+00    1.650000e+00    9.934107e-09
          10    1.650000e+00    1.650000e+00    6.664002e-09
          11    1.650000e+00    1.650000e+00    6.353876e-09
          12    1.650000e+00    1.650000e+00    1.053671e-08
          13    1.650000e+00    1.650000e+00    1.168943e-08
          14    1.650000e+00    1.650000e+00    1.126422e-08
          15    1.650000e+00    1.650000e+00    1.216675e-08
          16    1.650000e+00    1.650000e+00    1.178040e-08
          17    1.650000e+00    1.650000e+00    1.142867e-08
          18    1.650000e+00    1.650000e+00    1.110667e-08
          19    1.650000e+00    1.650000e+00    1.279108e-08
          20    1.650000e+00    1.650000e+00    1.246721e-08
