Gen:	L_2
1	411.215
2	393.391
3	378.513
4	366.294
5	352.368
6	339.421
7	326.071
8	314.777
9	303.811
10	291.824
11	284.662
12	269.769
13	263.731
14	256.249
15	250.308
16	244.983
17	239.143
18	236.669
19	232.947
20	228.363
21	225.445
22	221.867
23	219.213
24	214.344
25	211.546
26	209.409
27	203.994
28	202.949
29	198.215
30	193.684
31	190.646
32	188.331
33	184.943
34	179.342
35	177.026
36	174.369
37	172.409
38	170.923
39	167.015
40	164.043
41	162.66
42	160.367
43	157.995
44	155.043
45	153.699
46	152.187
47	151.309
48	149.295
49	147.161
50	143.336
51	141.1
52	140.016
53	138.248
54	135.565
55	134.668
56	134.061
57	132.712
58	132.009
59	129.8
60	128.86
61	126.994
62	125.837
63	124.888
64	124.196
65	121.89
66	121.353
67	119.237
68	119.111
69	117.504
70	116.641
71	114.62
72	113.888
73	112.629
74	112.022
75	111.292
76	110.317
77	109.214
78	108.153
79	108.153
80	107.31
81	106.612
82	106.116
83	105.729
84	105.222
85	104.84
86	104.437
87	102.966
88	102.144
89	102.144
90	101.521
91	101.521
92	99.8344
93	99.7013
94	99.3092
95	98.6853
96	98.0009
97	97.1458
98	96.6876
99	96.6244
100	96.6244
101	96.0873
102	95.1586
103	94.9762
104	94.2519
105	94.2519
106	94.004
107	93.5332
108	93.4375
109	93.1758
110	92.7747
111	92.4196
112	92.1345
113	91.2439
114	90.7094
115	90.7094
116	90.3762
117	89.9907
118	89.402
119	89.2578
120	88.7815
121	88.5909
122	87.8685
123	87.723
124	87.1202
125	86.9418
126	86.502
127	85.4695
128	85.2089
129	84.7812
130	83.8408
131	83.3591
132	83.3591
133	83.3591
134	83.3591
135	82.7839
136	82.6112
137	82.6112
138	82.6112
139	82.5929
140	82.5929
141	82.3605
142	82.2646
143	82.014
144	82.014
145	81.9011
146	81.7637
147	81.6508
148	81.6508
149	81.6508
150	80.2573
151	80.1274
152	80.1274
153	80.1063
154	79.9764
155	79.9764
156	79.9764
157	79.3103
158	78.4744
159	78.4744
160	78.4744
161	78.4744
162	78.1004
163	78.0219
164	78.0219
165	77.9673
166	77.9673
167	77.533
168	77.533
169	77.533
170	77.4862
171	77.4862
172	77.4862
173	77.4862
174	77.4862
175	77.4862
176	77.4862
177	77.2615
178	77.2615
179	77.2615
180	77.2615
181	77.2253
182	77.2253
183	77.184
184	77.184
185	77.184
186	77.184
187	77.184
188	77.184
189	77.1223
190	77.1223
191	77.1223
192	77.1223
193	77.1223
194	77.1223
195	77.1223
196	77.1223
197	77.1223
198	77.1223
199	77.0767
200	77.0767
201	77.0767
202	77.0767
203	76.8389
204	76.6109
205	76.6109
206	76.6109
207	76.6109
208	76.6109
209	76.6109
210	71.6486
211	71.6486
212	71.6486
213	71.6486
214	71.6486
215	71.6486
216	71.6486
217	71.6486
218	71.6486
219	71.6486
220	71.6486
221	71.6486
222	71.6486
223	71.6486
224	71.6486
225	71.6486
226	71.6486
227	71.6486
228	71.3272
229	71.3272
230	71.3272
231	71.3272
232	71.3272
233	71.1198
234	71.1198
235	71.1198
236	71.1198
237	71.1198
238	71.1198
239	71.1198
240	70.7331
241	70.7331
242	70.7331
243	70.4956
244	70.4956
245	70.4956
246	70.4956
247	70.4956
248	70.4956
249	70.4956
250	70.4956
251	70.3334
252	70.3334
253	70.3334
254	70.3334
255	70.3334
256	70.3334
257	70.3334
258	70.3334
259	70.3334
260	70.3334
261	70.3334
262	70.3334
263	70.3334
264	70.3334
265	70.3334
266	70.3334
267	70.3334
268	70.3334
269	70.3334
270	70.2075
271	69.837
272	69.837
273	69.837
274	69.837
275	69.837
276	69.837
277	69.837
